date,Sales Rep,Revenue
2022-06-01,Mike,119
2022-06-01,Ian,248
2022-06-01,Fank,356
2022-06-01,Sue,300
2022-06-01,Sarah,365
2022-06-02,Mike,352
2022-06-02,Ian,58
2022-06-02,Fank,19
2022-06-02,Sue,329
2022-06-02,Sarah,280
2022-06-03,Mike,71
2022-06-03,Ian,277
2022-06-03,Fank,430
2022-06-03,Sue,157
2022-06-03,Sarah,457
2022-06-04,Mike,347
2022-06-04,Ian,402
2022-06-04,Fank,393
2022-06-04,Sue,87
2022-06-04,Sarah,15
2022-06-05,Mike,419
2022-06-05,Ian,187
2022-06-05,Fank,231
2022-06-05,Sue,92
2022-06-05,Sarah,138
2022-06-06,Mike,199
2022-06-06,Ian,370
2022-06-06,Fank,111
2022-06-06,Sue,357
2022-06-06,Sarah,91
2022-06-07,Mike,196
2022-06-07,Ian,17
2022-06-07,Fank,221
2022-06-07,Sue,485
2022-06-07,Sarah,240
2022-06-08,Mike,322
2022-06-08,Ian,428
2022-06-08,Fank,390
2022-06-08,Sue,142
2022-06-08,Sarah,196
2022-06-09,Mike,487
2022-06-09,Ian,171
2022-06-09,Fank,382
2022-06-09,Sue,2
2022-06-09,Sarah,228
2022-06-10,Mike,455
2022-06-10,Ian,430
2022-06-10,Fank,74
2022-06-10,Sue,426
2022-06-10,Sarah,188
2022-06-11,Mike,423
2022-06-11,Ian,233
2022-06-11,Fank,9
2022-06-11,Sue,229
2022-06-11,Sarah,423
2022-06-12,Mike,67
2022-06-12,Ian,159
2022-06-12,Fank,311
2022-06-12,Sue,443
2022-06-12,Sarah,327
2022-06-13,Mike,185
2022-06-13,Ian,355
2022-06-13,Fank,216
2022-06-13,Sue,425
2022-06-13,Sarah,167
2022-06-14,Mike,456
2022-06-14,Ian,317
2022-06-14,Fank,72
2022-06-14,Sue,51
2022-06-14,Sarah,380
2022-06-15,Mike,234
2022-06-15,Ian,94
2022-06-15,Fank,42
2022-06-15,Sue,350
2022-06-15,Sarah,479
2022-06-16,Mike,2
2022-06-16,Ian,425
2022-06-16,Fank,214
2022-06-16,Sue,109
2022-06-16,Sarah,430
2022-06-17,Mike,454
2022-06-17,Ian,392
2022-06-17,Fank,363
2022-06-17,Sue,386
2022-06-17,Sarah,249
2022-06-18,Mike,90
2022-06-18,Ian,145
2022-06-18,Fank,264
2022-06-18,Sue,188
2022-06-18,Sarah,436
2022-06-19,Mike,308
2022-06-19,Ian,383
2022-06-19,Fank,344
2022-06-19,Sue,319
2022-06-19,Sarah,26
2022-06-20,Mike,131
2022-06-20,Ian,25
2022-06-20,Fank,87
2022-06-20,Sue,395
2022-06-20,Sarah,88
2022-06-21,Mike,207
2022-06-21,Ian,13
2022-06-21,Fank,38
2022-06-21,Sue,390
2022-06-21,Sarah,158
2022-06-22,Mike,296
2022-06-22,Ian,333
2022-06-22,Fank,126
2022-06-22,Sue,164
2022-06-22,Sarah,443
2022-06-23,Mike,65
2022-06-23,Ian,187
2022-06-23,Fank,251
2022-06-23,Sue,285
2022-06-23,Sarah,399
2022-06-24,Mike,159
2022-06-24,Ian,159
2022-06-24,Fank,76
2022-06-24,Sue,128
2022-06-24,Sarah,215
2022-06-25,Mike,142
2022-06-25,Ian,44
2022-06-25,Fank,131
2022-06-25,Sue,357
2022-06-25,Sarah,63
2022-06-26,Mike,445
2022-06-26,Ian,33
2022-06-26,Fank,477
2022-06-26,Sue,92
2022-06-26,Sarah,69
2022-06-27,Mike,306
2022-06-27,Ian,150
2022-06-27,Fank,349
2022-06-27,Sue,388
2022-06-27,Sarah,482
2022-06-28,Mike,197
2022-06-28,Ian,208
2022-06-28,Fank,310
2022-06-28,Sue,326
2022-06-28,Sarah,416
2022-06-29,Mike,493
2022-06-29,Ian,351
2022-06-29,Fank,258
2022-06-29,Sue,46
2022-06-29,Sarah,2
2022-06-30,Mike,478
2022-06-30,Ian,492
2022-06-30,Fank,385
2022-06-30,Sue,312
2022-06-30,Sarah,186
2022-07-01,Mike,34
2022-07-01,Ian,90
2022-07-01,Fank,484
2022-07-01,Sue,487
2022-07-01,Sarah,363
2022-07-02,Mike,344
2022-07-02,Ian,332
2022-07-02,Fank,96
2022-07-02,Sue,161
2022-07-02,Sarah,340
2022-07-03,Mike,257
2022-07-03,Ian,337
2022-07-03,Fank,143
2022-07-03,Sue,71
2022-07-03,Sarah,483
2022-07-04,Mike,429
2022-07-04,Ian,471
2022-07-04,Fank,129
2022-07-04,Sue,460
2022-07-04,Sarah,115
2022-07-05,Mike,135
2022-07-05,Ian,256
2022-07-05,Fank,295
2022-07-05,Sue,55
2022-07-05,Sarah,229
2022-07-06,Mike,113
2022-07-06,Ian,195
2022-07-06,Fank,3
2022-07-06,Sue,104
2022-07-06,Sarah,411
2022-07-07,Mike,125
2022-07-07,Ian,135
2022-07-07,Fank,388
2022-07-07,Sue,482
2022-07-07,Sarah,16
2022-07-08,Mike,191
2022-07-08,Ian,233
2022-07-08,Fank,147
2022-07-08,Sue,69
2022-07-08,Sarah,57
2022-07-09,Mike,163
2022-07-09,Ian,461
2022-07-09,Fank,294
2022-07-09,Sue,347
2022-07-09,Sarah,6
2022-07-10,Mike,398
2022-07-10,Ian,115
2022-07-10,Fank,168
2022-07-10,Sue,248
2022-07-10,Sarah,341
2022-07-11,Mike,91
2022-07-11,Ian,55
2022-07-11,Fank,19
2022-07-11,Sue,416
